"target","location","forecast_date","target_end_date","quantile","value","type"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.01,0,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.01,0,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.01,0,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.01,0,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.01,0,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.01,0,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.01,0,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.025,0,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.025,0,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.025,0,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.025,0,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.025,0,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.025,0,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.025,0,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.025,0,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.025,0,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.025,0,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.025,0,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.025,0,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.025,0,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.025,0,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.025,0,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.025,0,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.025,0,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.025,0,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.025,0,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.025,0,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.025,0,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.025,0,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.025,0,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.025,0,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.025,0,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.025,0,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.025,0,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.025,0,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.025,0,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.025,0,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.05,2,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.05,3,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.05,2,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.05,1.95,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.05,2,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.05,1,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.05,2,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.05,2,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.05,2,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.05,2,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.05,2,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.05,2,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.05,2,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.05,2,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.05,2,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.05,2,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.05,3,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.05,2,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.05,2,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.05,2.95,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.05,2,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.05,2,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.05,2,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.05,2,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.05,2,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.05,2,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.05,2,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.05,3,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.05,2,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.05,2,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.1,5,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.1,5,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.1,6,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.1,5,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.1,6,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.1,5,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.1,5,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.1,6,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.1,5,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.1,5,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.1,6,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.1,6,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.1,5,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.1,6,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.1,5,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.1,5,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.1,6,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.1,6,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.1,6,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.1,6,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.1,6,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.1,6,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.1,6,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.1,6,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.1,5,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.1,5,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.1,5,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.1,7,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.1,5,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.1,6,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.15,8,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.15,7,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.15,8,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.15,7,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.15,8,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.15,7,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.15,7,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.15,8,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.15,8,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.15,8,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.15,8,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.15,8,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.15,7,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.15,8,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.15,8,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.15,8,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.15,8,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.15,8,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.15,8,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.15,8,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.15,8,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.15,8,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.15,8,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.15,8,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.15,7,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.15,8,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.15,8,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.15,8,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.15,7.85000000000002,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.15,8,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.2,9,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.2,9,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.2,9,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.2,9,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.2,10,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.2,9,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.2,9,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.2,10,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.2,9,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.2,9,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.2,10,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.2,10,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.2,9,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.2,10,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.2,10,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.2,9,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.2,10,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.2,10,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.2,9,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.2,10,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.2,10,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.2,9,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.2,10,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.2,10,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.2,9,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.2,10,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.2,10,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.2,10,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.2,10,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.2,10,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.25,10,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.25,11,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.25,11,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.25,11,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.25,11,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.25,11,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.25,11,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.25,12,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.25,11,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.25,11,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.25,12,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.25,11,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.25,11,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.25,11,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.25,11,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.25,11,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.25,11,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.25,12,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.25,11,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.25,11,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.25,11,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.25,11,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.25,11,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.25,11.75,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.25,11,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.25,11,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.25,11,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.25,11,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.25,11,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.25,11.75,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.3,12,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.3,12,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.3,12,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.3,12,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.3,12,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.3,12,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.3,12,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.3,13,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.3,12,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.3,12,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.3,13,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.3,12,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.3,12,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.3,12.7,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.3,13,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.3,12,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.3,13,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.3,13,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.3,12,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.3,13,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.3,13,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.3,12,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.3,13,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.3,13,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.3,12,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.3,12,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.3,12,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.3,13,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.3,13,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.3,13,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.35,13,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.35,13,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.35,13,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.35,13,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.35,13,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.35,13,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.35,13,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.35,14,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.35,13,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.35,13,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.35,14,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.35,14,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.35,14,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.35,14,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.35,14,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.35,13,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.35,13,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.35,14,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.35,14,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.35,14,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.35,14,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.35,13,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.35,14,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.35,14,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.35,13,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.35,14,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.35,14,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.35,14,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.35,14,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.35,14,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.4,14,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.4,14,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.4,14,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.4,14,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.4,14,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.4,14,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.4,14,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.4,15,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.4,14,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.4,14,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.4,15,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.4,15,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.4,15,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.4,15,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.4,15,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.4,14,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.4,15,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.4,15,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.4,15,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.4,15,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.4,15,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.4,15,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.4,15,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.4,15,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.4,15,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.4,15,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.4,15,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.4,15,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.4,15,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.4,16,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.45,15,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.45,15,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.45,15,"quantile"
"4 day ahead inc hosp","33",2022-09-05,2022-09-09,0.45,15,"quantile"
"5 day ahead inc hosp","33",2022-09-05,2022-09-10,0.45,15,"quantile"
"6 day ahead inc hosp","33",2022-09-05,2022-09-11,0.45,15,"quantile"
"7 day ahead inc hosp","33",2022-09-05,2022-09-12,0.45,15,"quantile"
"8 day ahead inc hosp","33",2022-09-05,2022-09-13,0.45,16,"quantile"
"9 day ahead inc hosp","33",2022-09-05,2022-09-14,0.45,15,"quantile"
"10 day ahead inc hosp","33",2022-09-05,2022-09-15,0.45,15,"quantile"
"11 day ahead inc hosp","33",2022-09-05,2022-09-16,0.45,16,"quantile"
"12 day ahead inc hosp","33",2022-09-05,2022-09-17,0.45,16,"quantile"
"13 day ahead inc hosp","33",2022-09-05,2022-09-18,0.45,16,"quantile"
"14 day ahead inc hosp","33",2022-09-05,2022-09-19,0.45,16,"quantile"
"15 day ahead inc hosp","33",2022-09-05,2022-09-20,0.45,16,"quantile"
"16 day ahead inc hosp","33",2022-09-05,2022-09-21,0.45,16,"quantile"
"17 day ahead inc hosp","33",2022-09-05,2022-09-22,0.45,16,"quantile"
"18 day ahead inc hosp","33",2022-09-05,2022-09-23,0.45,16,"quantile"
"19 day ahead inc hosp","33",2022-09-05,2022-09-24,0.45,16,"quantile"
"20 day ahead inc hosp","33",2022-09-05,2022-09-25,0.45,16,"quantile"
"21 day ahead inc hosp","33",2022-09-05,2022-09-26,0.45,16,"quantile"
"22 day ahead inc hosp","33",2022-09-05,2022-09-27,0.45,16,"quantile"
"23 day ahead inc hosp","33",2022-09-05,2022-09-28,0.45,16,"quantile"
"24 day ahead inc hosp","33",2022-09-05,2022-09-29,0.45,16,"quantile"
"25 day ahead inc hosp","33",2022-09-05,2022-09-30,0.45,16,"quantile"
"26 day ahead inc hosp","33",2022-09-05,2022-10-01,0.45,16,"quantile"
"27 day ahead inc hosp","33",2022-09-05,2022-10-02,0.45,16,"quantile"
"28 day ahead inc hosp","33",2022-09-05,2022-10-03,0.45,16,"quantile"
"29 day ahead inc hosp","33",2022-09-05,2022-10-04,0.45,16,"quantile"
"30 day ahead inc hosp","33",2022-09-05,2022-10-05,0.45,17,"quantile"
"1 day ahead inc hosp","33",2022-09-05,2022-09-06,0.5,16,"quantile"
"2 day ahead inc hosp","33",2022-09-05,2022-09-07,0.5,16,"quantile"
"3 day ahead inc hosp","33",2022-09-05,2022-09-08,0.5,16,"quantile"
