forecast_date,target,target_end_date,quantile,value,location,type
2022-02-28,26 day ahead inc hosp,2022-03-26,0.01,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.01,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.01,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.01,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.01,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.01,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.01,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.01,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.01,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.01,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.025,0.0,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.025,0.0,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.025,0.0,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.025,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.025,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.025,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.025,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.025,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.025,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.025,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.025,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.025,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.025,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.025,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.025,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.025,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.025,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.025,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.025,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.025,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.025,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.025,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.025,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.025,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.025,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.025,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.025,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.025,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.025,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.025,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.025,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.025,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.025,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.025,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.025,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.05,0.0,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.05,0.0,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.05,0.0,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.05,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.05,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.05,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.05,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.05,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.05,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.05,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.05,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.05,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.05,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.05,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.05,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.05,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.05,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.05,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.05,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.05,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.05,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.05,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.05,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.05,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.05,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.05,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.05,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.05,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.05,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.05,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.05,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.05,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.05,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.05,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.05,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.1,0.0,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.1,0.0,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.1,0.0,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.1,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.1,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.1,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.1,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.1,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.1,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.1,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.1,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.1,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.1,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.1,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.1,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.1,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.1,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.1,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.1,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.1,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.1,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.1,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.1,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.1,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.1,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.1,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.1,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.1,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.1,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.1,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.1,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.1,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.1,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.1,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.1,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.15,0.0,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.15,0.0,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.15,0.0,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.15,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.15,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.15,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.15,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.15,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.15,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.15,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.15,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.15,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.15,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.15,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.15,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.15,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.15,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.15,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.15,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.15,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.15,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.15,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.15,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.15,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.15,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.15,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.15,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.15,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.15,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.15,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.15,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.15,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.15,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.15,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.15,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.2,0.0,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.2,0.0,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.2,0.0,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.2,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.2,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.2,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.2,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.2,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.2,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.2,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.2,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.2,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.2,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.2,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.2,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.2,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.2,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.2,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.2,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.2,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.2,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.2,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.2,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.2,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.2,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.2,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.2,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.2,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.2,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.2,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.2,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.2,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.2,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.2,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.2,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.25,0.0,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.25,0.0,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.25,0.0,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.25,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.25,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.25,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.25,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.25,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.25,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.25,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.25,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.25,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.25,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.25,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.25,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.25,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.25,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.25,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.25,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.25,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.25,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.25,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.25,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.25,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.25,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.25,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.25,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.25,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.25,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.25,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.25,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.25,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.25,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.25,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.25,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.3,0.0,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.3,0.8414456461863002,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.3,0.0,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.3,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.3,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.3,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.3,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.3,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.3,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.3,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.3,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.3,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.3,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.3,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.3,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.3,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.3,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.3,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.3,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.3,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.3,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.3,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.3,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.3,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.3,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.3,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.3,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.3,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.3,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.3,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.3,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.3,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.3,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.3,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.3,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.35,0.40037185634349104,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.35,2.4703882224250373,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.35,1.4218621395505924,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.35,0.0,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.35,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.35,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.35,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.35,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.35,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.35,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.35,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.35,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.35,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.35,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.35,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.35,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.35,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.35,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.35,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.35,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.35,0.0,11,quantile
2022-02-28,22 day ahead inc hosp,2022-03-22,0.35,0.0,11,quantile
2022-02-28,23 day ahead inc hosp,2022-03-23,0.35,0.0,11,quantile
2022-02-28,24 day ahead inc hosp,2022-03-24,0.35,0.0,11,quantile
2022-02-28,25 day ahead inc hosp,2022-03-25,0.35,0.0,11,quantile
2022-02-28,26 day ahead inc hosp,2022-03-26,0.35,0.0,11,quantile
2022-02-28,27 day ahead inc hosp,2022-03-27,0.35,0.0,11,quantile
2022-02-28,28 day ahead inc hosp,2022-03-28,0.35,0.0,11,quantile
2022-02-28,29 day ahead inc hosp,2022-03-29,0.35,0.0,11,quantile
2022-02-28,30 day ahead inc hosp,2022-03-30,0.35,0.0,11,quantile
2022-02-28,31 day ahead inc hosp,2022-03-31,0.35,0.0,11,quantile
2022-02-28,32 day ahead inc hosp,2022-04-01,0.35,0.0,11,quantile
2022-02-28,33 day ahead inc hosp,2022-04-02,0.35,0.0,11,quantile
2022-02-28,34 day ahead inc hosp,2022-04-03,0.35,0.0,11,quantile
2022-02-28,35 day ahead inc hosp,2022-04-04,0.35,0.0,11,quantile
2022-02-28,1 day ahead inc hosp,2022-03-01,0.4,1.8125661295037117,11,quantile
2022-02-28,2 day ahead inc hosp,2022-03-02,0.4,4.0160954326337635,11,quantile
2022-02-28,3 day ahead inc hosp,2022-03-03,0.4,3.1233618642784142,11,quantile
2022-02-28,4 day ahead inc hosp,2022-03-04,0.4,1.2820014631576648,11,quantile
2022-02-28,5 day ahead inc hosp,2022-03-05,0.4,0.0,11,quantile
2022-02-28,6 day ahead inc hosp,2022-03-06,0.4,0.0,11,quantile
2022-02-28,7 day ahead inc hosp,2022-03-07,0.4,0.0,11,quantile
2022-02-28,8 day ahead inc hosp,2022-03-08,0.4,0.0,11,quantile
2022-02-28,9 day ahead inc hosp,2022-03-09,0.4,0.0,11,quantile
2022-02-28,10 day ahead inc hosp,2022-03-10,0.4,0.0,11,quantile
2022-02-28,11 day ahead inc hosp,2022-03-11,0.4,0.0,11,quantile
2022-02-28,12 day ahead inc hosp,2022-03-12,0.4,0.0,11,quantile
2022-02-28,13 day ahead inc hosp,2022-03-13,0.4,0.0,11,quantile
2022-02-28,14 day ahead inc hosp,2022-03-14,0.4,0.0,11,quantile
2022-02-28,15 day ahead inc hosp,2022-03-15,0.4,0.0,11,quantile
2022-02-28,16 day ahead inc hosp,2022-03-16,0.4,0.0,11,quantile
2022-02-28,17 day ahead inc hosp,2022-03-17,0.4,0.0,11,quantile
2022-02-28,18 day ahead inc hosp,2022-03-18,0.4,0.0,11,quantile
2022-02-28,19 day ahead inc hosp,2022-03-19,0.4,0.0,11,quantile
2022-02-28,20 day ahead inc hosp,2022-03-20,0.4,0.0,11,quantile
2022-02-28,21 day ahead inc hosp,2022-03-21,0.4,0.0,11,quantile
